,Date,Vehicle Category,GVWR Class,Fuel Type,Model Year,Fuel Technology,Electric Mile Range,Number of Vehicles Registered at the Same Address,Region,Vehicle Population
56,2019,P,,0.0,2011.0,ICE,,≥4,Statewide,238351
57,2021,P,,0.0,2018.0,ICE,,2,Statewide,237334
58,2020,P,,0.0,2019.0,ICE,,2,Statewide,233550
59,2023,P,,0.0,2018.0,ICE,,1,Statewide,232618
60,2023,P,,0.0,2021.0,ICE,,2,Statewide,231927
61,2022,P,,0.0,2018.0,ICE,,2,Statewide,228237
62,2019,P,,0.0,2017.0,ICE,,2,Statewide,227512
63,2023,P,,0.0,2019.0,ICE,,1,Statewide,225940
64,2022,P,,0.0,2022.0,ICE,,2,Statewide,225526
65,2023,P,,0.0,1979.0,ICE,,≥4,Statewide,225067
66,2019,P,,0.0,2010.0,ICE,,≥4,Statewide,224551
67,2022,P,,0.0,2023.0,ICE,,1,Statewide,223287
68,2021,P,,0.0,2017.0,ICE,,≥4,Statewide,221130
69,2019,P,,0.0,2018.0,ICE,,1,Statewide,220820
70,2021,P,,0.0,2019.0,ICE,,2,Statewide,220034
71,2020,P,,0.0,2017.0,ICE,,≥4,Statewide,220032
72,2023,P,,0.0,2018.0,ICE,,2,Statewide,218815
73,2023,P,,0.0,2017.0,ICE,,≥4,Statewide,218490
74,2022,P,,0.0,2019.0,ICE,,2,Statewide,217331
75,2021,P,,0.0,2017.0,ICE,,1,Statewide,217298
76,2019,P,,0.0,2020.0,ICE,,2,Statewide,215296
77,2020,P,,0.0,2017.0,ICE,,2,Statewide,214909
78,2022,P,,0.0,1978.0,ICE,,≥4,Statewide,214521
79,2019,P,,0.0,2013.0,ICE,,≥4,Statewide,214058
80,2022,P,,0.0,2017.0,ICE,,≥4,Statewide,213357
81,2019,P,,0.0,2012.0,ICE,,2,Statewide,212957
82,2020,P,,0.0,2012.0,ICE,,1,Statewide,211249
83,2020,P,,0.0,2012.0,ICE,,≥4,Statewide,209658
84,2023,P,,0.0,2019.0,ICE,,2,Statewide,209180
85,2021,P,,0.0,2012.0,ICE,,≥4,Statewide,208739
86,2019,P,,0.0,2018.0,ICE,,3,Statewide,207557
87,2022,P,,0.0,2012.0,ICE,,≥4,Statewide,203780
88,2021,P,,0.0,2017.0,ICE,,2,Statewide,203400
89,2022,P,,0.0,2017.0,ICE,,1,Statewide,203211
90,2021,P,,0.0,1977.0,ICE,,≥4,Statewide,202200
91,2023,P,,0.0,2012.0,ICE,,≥4,Statewide,201788
92,2019,P,,0.0,1975.0,ICE,,≥4,Statewide,201522
93,2021,P,,0.0,2011.0,ICE,,≥4,Statewide,199102
94,2020,P,,0.0,2011.0,ICE,,≥4,Statewide,198622
95,2019,P,,0.0,2019.0,ICE,,1,Statewide,198549
96,2019,P,,0.0,2008.0,ICE,,≥4,Statewide,198540
97,2019,P,,0.0,2011.0,ICE,,2,Statewide,198234
98,2020,P,,0.0,2012.0,ICE,,2,Statewide,197911
99,2023,P,,0.0,2024.0,ICE,,1,Statewide,196726
100,2023,P,,0.0,2023.0,ICE,,2,Statewide,195553
101,2020,P,,0.0,2011.0,ICE,,1,Statewide,193889
102,2019,P,,0.0,2009.0,ICE,,≥4,Statewide,192883
103,2019,P,,0.0,2016.0,ICE,,≥4,Statewide,192354
104,2019,P,,0.0,2015.0,ICE,,≥4,Statewide,192265
105,2022,P,,0.0,2017.0,ICE,,2,Statewide,191734
106,2019,P,,0.0,2010.0,ICE,,2,Statewide,190454
107,2022,P,,0.0,2011.0,ICE,,≥4,Statewide,190199
108,2020,P,,0.0,2010.0,ICE,,≥4,Statewide,190111
109,2019,P,,0.0,2019.0,ICE,,3,Statewide,189427
110,2020,P,,0.0,2010.0,ICE,,1,Statewide,188754
111,2023,P,,0.0,2017.0,ICE,,1,Statewide,188143
112,2023,P,,0.0,2011.0,ICE,,≥4,Statewide,187814
113,2020,P,,0.0,1976.0,ICE,,≥4,Statewide,186828
114,2021,P,,0.0,2010.0,ICE,,≥4,Statewide,186677
115,2021,P,,0.0,2020.0,ICE,,3,Statewide,186583
116,2021,P,,0.0,2012.0,ICE,,1,Statewide,185857
117,2019,P,,0.0,2007.0,ICE,,≥4,Statewide,185360
118,2023,P,,0.0,2017.0,ICE,,2,Statewide,184845
119,2019,P,,0.0,2017.0,ICE,,1,Statewide,184363
120,2023,P,,0.0,2020.0,ICE,,3,Statewide,181697
121,2020,P,,0.0,2011.0,ICE,,2,Statewide,181167
122,2019,P,,0.0,2006.0,ICE,,≥4,Statewide,181103
123,2020,P,,0.0,2021.0,ICE,,2,Statewide,180496
124,2022,P,,0.0,2020.0,ICE,,3,Statewide,180465
125,2021,P,,0.0,2013.0,ICE,,≥4,Statewide,179897
126,2021,P,,0.0,2012.0,ICE,,2,Statewide,179711
127,2019,P,,0.0,2013.0,ICE,,2,Statewide,179633
128,2019,P,,0.0,2020.0,ICE,,1,Statewide,179563
129,2022,P,,0.0,2010.0,ICE,,≥4,Statewide,178801
130,2020,P,,0.0,2013.0,ICE,,≥4,Statewide,178389
131,2020,P,,0.0,2013.0,ICE,,1,Statewide,178179
132,2020,P,,0.0,2020.0,ICE,,3,Statewide,177770
133,2022,P,,0.0,2021.0,ICE,,3,Statewide,177107
134,2020,P,,0.0,2010.0,ICE,,2,Statewide,175257
135,2019,P,,0.0,2020.0,ICE,,3,Statewide,174773
136,2022,P,,0.0,2013.0,ICE,,≥4,Statewide,174559
137,2019,P,,0.0,2005.0,ICE,,≥4,Statewide,174383
138,2023,P,,0.0,2021.0,ICE,,3,Statewide,174293
139,2023,P,,0.0,2013.0,ICE,,≥4,Statewide,174222
140,2022,P,,0.0,2012.0,ICE,,1,Statewide,173321
141,2023,P,,0.0,2010.0,ICE,,≥4,Statewide,173110
142,2019,P,,0.0,2012.0,ICE,,1,Statewide,172969
143,2020,P,,0.0,2018.0,ICE,,3,Statewide,172849
144,2019,P,,0.0,2017.0,ICE,,3,Statewide,172682
145,2023,P,,0.0,2022.0,ICE,,3,Statewide,172573
146,2020,P,,0.0,2015.0,ICE,,1,Statewide,172019
147,2021,P,,0.0,2022.0,ICE,,2,Statewide,171942
148,2019,P,,0.0,2015.0,ICE,,2,Statewide,171458
149,2020,P,,0.0,2016.0,ICE,,1,Statewide,171118
150,2021,P,,0.0,2018.0,ICE,,3,Statewide,170951
151,2021,P,,0.0,2011.0,ICE,,1,Statewide,170170
152,2021,P,,0.0,2021.0,ICE,,3,Statewide,169789
153,2022,P,,0.0,2012.0,ICE,,2,Statewide,167461
154,2022,P,,0.0,2018.0,ICE,,3,Statewide,167230
155,2020,P,,0.0,2008.0,ICE,,≥4,Statewide,166857
156,2020,P,,0.0,2013.0,ICE,,2,Statewide,166066
157,2019,P,,0.0,2014.0,ICE,,≥4,Statewide,165496
158,2020,P,,0.0,2019.0,ICE,,3,Statewide,164032
159,2021,P,,0.0,2011.0,ICE,,2,Statewide,164004
160,2023,P,,0.0,2018.0,ICE,,3,Statewide,163435
161,2019,P,,0.0,2009.0,ICE,,2,Statewide,163414
162,2019,P,,0.0,2016.0,ICE,,2,Statewide,162874
163,2021,P,,0.0,2010.0,ICE,,1,Statewide,162469
164,2019,P,,0.0,2008.0,ICE,,2,Statewide,162075
165,2019,P,,0.0,2011.0,ICE,,1,Statewide,162033
166,2021,P,,0.0,2019.0,ICE,,3,Statewide,161432
167,2020,P,,0.0,2009.0,ICE,,≥4,Statewide,160600
168,2022,P,,0.0,2022.0,ICE,,3,Statewide,160532
169,2021,P,,0.0,2008.0,ICE,,≥4,Statewide,160377
170,2022,P,,0.0,2019.0,ICE,,3,Statewide,159889
171,2021,P,,0.0,2015.0,ICE,,≥4,Statewide,159613
172,2021,P,,0.0,2009.0,ICE,,≥4,Statewide,159492
173,2020,P,,0.0,2016.0,ICE,,≥4,Statewide,159429
174,2021,P,,0.0,2013.0,ICE,,1,Statewide,159006
175,2020,P,,0.0,2008.0,ICE,,1,Statewide,158749
176,2020,P,,0.0,2015.0,ICE,,2,Statewide,158654
177,2020,P,,0.0,2015.0,ICE,,≥4,Statewide,158613
178,2019,P,,0.0,2010.0,ICE,,1,Statewide,158523
179,2019,P,,0.0,2012.0,ICE,,3,Statewide,158183
180,2020,P,,0.0,2009.0,ICE,,1,Statewide,158147
181,2023,P,,0.0,2015.0,ICE,,≥4,Statewide,157919
182,2021,P,,0.0,2016.0,ICE,,≥4,Statewide,157880
183,2023,P,,0.0,2019.0,ICE,,3,Statewide,157601
184,2023,P,,0.0,2016.0,ICE,,≥4,Statewide,156032
185,2021,P,,0.0,2015.0,ICE,,1,Statewide,155998
186,2022,P,,0.0,2016.0,ICE,,≥4,Statewide,155840
187,2022,P,,0.0,2015.0,ICE,,≥4,Statewide,155530
188,2021,P,,0.0,2010.0,ICE,,2,Statewide,155504
189,2022,P,,0.0,2011.0,ICE,,1,Statewide,154837
190,2023,P,,0.0,2012.0,ICE,,1,Statewide,153635
191,2021,P,,0.0,2013.0,ICE,,2,Statewide,153551
192,2023,P,,0.0,2012.0,ICE,,2,Statewide,153017
193,2020,P,,0.0,2016.0,ICE,,2,Statewide,152433
194,2020,P,,0.0,2017.0,ICE,,3,Statewide,151844
195,2020,P,,0.0,2007.0,ICE,,≥4,Statewide,151343
196,2021,P,,0.0,2016.0,ICE,,1,Statewide,151037
197,2019,P,,0.0,2011.0,ICE,,3,Statewide,150277
198,2022,P,,0.0,2008.0,ICE,,≥4,Statewide,150162
199,2021,P,,0.0,2015.0,ICE,,2,Statewide,150142
200,2022,P,,0.0,2009.0,ICE,,≥4,Statewide,149021
201,2022,P,,0.0,2011.0,ICE,,2,Statewide,148929
202,2023,T2,1,0.0,2023.0,ICE,,1,Statewide,148337
203,2020,P,,0.0,2006.0,ICE,,≥4,Statewide,148247
204,2022,P,,0.0,2010.0,ICE,,1,Statewide,148201
205,2022,P,,0.0,2013.0,ICE,,1,Statewide,147772
206,2019,P,,0.0,2007.0,ICE,,2,Statewide,147272
207,2021,P,,0.0,2017.0,ICE,,3,Statewide,147209
208,2022,P,,0.0,2015.0,ICE,,1,Statewide,146779
209,2020,P,,0.0,2009.0,ICE,,2,Statewide,145913
210,2022,T2,1,0.0,2022.0,ICE,,1,Statewide,145835
211,2020,P,,0.0,2008.0,ICE,,2,Statewide,145751
212,2021,P,,0.0,2007.0,ICE,,≥4,Statewide,145320
213,2019,P,,0.0,2013.0,ICE,,1,Statewide,145034
214,2020,P,,0.0,2014.0,ICE,,1,Statewide,145028
215,2019,P,,0.0,2010.0,ICE,,3,Statewide,144512
216,2023,P,,0.0,2009.0,ICE,,≥4,Statewide,144142
217,2022,P,,0.0,2016.0,ICE,,1,Statewide,143637
218,2019,P,,0.0,2014.0,ICE,,2,Statewide,143169
219,2022,P,,0.0,2013.0,ICE,,2,Statewide,142510
220,2022,P,,0.0,2023.0,ICE,,2,Statewide,142282
221,2021,P,,0.0,2016.0,ICE,,2,Statewide,142108
222,2023,P,,0.0,2008.0,ICE,,≥4,Statewide,141637
223,2020,P,,0.0,2012.0,ICE,,3,Statewide,141571
224,2022,P,,0.0,2010.0,ICE,,2,Statewide,141488
225,2023,T2,1,0.0,2023.0,ICE,,≥4,Statewide,141479
226,2023,T2,1,0.0,2022.0,ICE,,1,Statewide,141465
227,2023,P,,0.0,2023.0,ICE,,3,Statewide,141182
228,2020,P,,0.0,2007.0,ICE,,1,Statewide,141133
229,2022,P,,0.0,2015.0,ICE,,2,Statewide,141029
230,2022,P,,0.0,2017.0,ICE,,3,Statewide,140008
231,2020,P,,0.0,2005.0,ICE,,≥4,Statewide,139889
232,2020,P,,0.0,2014.0,ICE,,≥4,Statewide,139817
233,2021,P,,0.0,2014.0,ICE,,≥4,Statewide,139589
234,2021,P,,0.0,2006.0,ICE,,≥4,Statewide,138857
235,2023,P,,0.0,2017.0,ICE,,3,Statewide,138728
236,2019,P,,0.0,2015.0,ICE,,1,Statewide,138408
237,2022,T2,1,0.0,2022.0,ICE,,≥4,Statewide,138200
238,2022,P,,0.0,2014.0,ICE,,≥4,Statewide,137654
239,2023,T2,1,0.0,2024.0,ICE,,≥4,Statewide,137430
240,2023,P,,0.0,2014.0,ICE,,≥4,Statewide,137016
241,2019,P,,0.0,2006.0,ICE,,2,Statewide,136721
242,2023,T2,1,0.0,2022.0,ICE,,≥4,Statewide,136677
243,2022,P,,0.0,2016.0,ICE,,2,Statewide,136489
244,2021,P,,0.0,2009.0,ICE,,1,Statewide,136284
245,2023,P,,0.0,2011.0,ICE,,1,Statewide,135850
246,2019,P,,0.0,2008.0,ICE,,1,Statewide,135816
247,2019,P,,0.0,2009.0,ICE,,1,Statewide,135785
248,2023,P,,0.0,2011.0,ICE,,2,Statewide,134920
249,2020,P,,0.0,2014.0,ICE,,2,Statewide,134916
250,2019,P,,0.0,2013.0,ICE,,3,Statewide,134782
251,2019,P,,0.0,2004.0,ICE,,≥4,Statewide,134489
252,2021,P,,0.0,2008.0,ICE,,1,Statewide,134225
253,2023,P,,0.0,2015.0,ICE,,1,Statewide,134098
254,2023,T2,1,0.0,2022.0,ICE,,2,Statewide,134057
255,2021,P,,0.0,2012.0,ICE,,3,Statewide,133908
256,2023,P,,0.0,2015.0,ICE,,2,Statewide,133168
257,2023,P,,0.0,2013.0,ICE,,1,Statewide,132564
258,2023,P,,0.0,2013.0,ICE,,2,Statewide,132228
259,2020,P,,0.0,2021.0,ICE,,3,Statewide,131841
260,2019,P,,0.0,2016.0,ICE,,1,Statewide,131685
261,2020,P,,0.0,2011.0,ICE,,3,Statewide,131627
262,2020,P,,0.0,2006.0,ICE,,1,Statewide,131108
263,2021,T2,1,0.0,2022.0,ICE,,1,Statewide,130929
264,2022,P,,0.0,2007.0,ICE,,≥4,Statewide,130921
265,2021,P,,0.0,2005.0,ICE,,≥4,Statewide,130817
266,2021,P,,0.0,2009.0,ICE,,2,Statewide,129914
267,2023,P,,0.0,2016.0,ICE,,1,Statewide,129846
268,2021,P,,0.0,2014.0,ICE,,1,Statewide,128873
269,2020,P,,0.0,2007.0,ICE,,2,Statewide,128820
270,2023,P,,0.0,2024.0,ICE,,2,Statewide,128716
271,2023,P,,0.0,2010.0,ICE,,1,Statewide,128383
272,2021,T2,1,0.0,2022.0,ICE,,≥4,Statewide,128187
273,2019,P,,0.0,2005.0,ICE,,2,Statewide,128152
274,2023,P,,0.0,2016.0,ICE,,2,Statewide,128073
275,2022,P,,0.0,2012.0,ICE,,3,Statewide,127274
276,2020,P,,0.0,2010.0,ICE,,3,Statewide,127106
277,2023,T2,1,0.0,2023.0,ICE,,2,Statewide,127014
278,2021,P,,0.0,2022.0,ICE,,3,Statewide,126248
279,2019,P,,0.0,2015.0,ICE,,3,Statewide,126203
280,2021,P,,0.0,2008.0,ICE,,2,Statewide,126191
281,2023,P,,0.0,2010.0,ICE,,2,Statewide,125674
282,2019,P,,0.0,2008.0,ICE,,3,Statewide,125541
283,2021,P,,0.0,2011.0,ICE,,3,Statewide,125060
284,2019,P,,0.0,2007.0,ICE,,1,Statewide,124875
285,2022,T2,1,0.0,2022.0,ICE,,2,Statewide,124851
286,2021,P,,0.0,2014.0,ICE,,2,Statewide,124557
287,2019,P,,0.0,2009.0,ICE,,3,Statewide,124463
288,2022,P,,0.0,2006.0,ICE,,≥4,Statewide,124134
289,2019,P,,0.0,2016.0,ICE,,3,Statewide,123031
290,2023,P,,0.0,2007.0,ICE,,≥4,Statewide,122246
291,2022,P,,0.0,2014.0,ICE,,1,Statewide,122065
292,2022,P,,0.0,2009.0,ICE,,1,Statewide,121314
293,2023,T2,1,0.0,2024.0,ICE,,1,Statewide,121198
294,2020,P,,0.0,2005.0,ICE,,1,Statewide,121064
295,2023,P,,0.0,2012.0,ICE,,3,Statewide,119866
296,2020,P,,0.0,2006.0,ICE,,2,Statewide,119620
297,2022,T2,1,0.0,2023.0,ICE,,1,Statewide,119518
298,2019,P,,0.0,2003.0,ICE,,≥4,Statewide,119357
299,2022,T2,1,0.0,2023.0,ICE,,≥4,Statewide,118710
300,2022,P,,0.0,2008.0,ICE,,1,Statewide,118609
301,2020,P,,0.0,2013.0,ICE,,3,Statewide,118558
302,2021,P,,0.0,2007.0,ICE,,1,Statewide,118365
303,2022,P,,0.0,2014.0,ICE,,2,Statewide,118276
304,2021,P,,0.0,2010.0,ICE,,3,Statewide,117175
305,2019,P,,0.0,2006.0,ICE,,1,Statewide,116278
306,2019,P,,0.0,2014.0,ICE,,1,Statewide,115857
307,2022,P,,0.0,2011.0,ICE,,3,Statewide,115585
308,2019,P,,0.0,2007.0,ICE,,3,Statewide,115379
309,2022,P,,0.0,2005.0,ICE,,≥4,Statewide,114917
310,2022,P,,0.0,2009.0,ICE,,2,Statewide,114893
311,2021,P,,0.0,2013.0,ICE,,3,Statewide,114166
312,2021,T2,1,0.0,2021.0,ICE,,1,Statewide,113058
313,2023,P,,0.0,2006.0,ICE,,≥4,Statewide,112426
314,2022,P,,0.0,2008.0,ICE,,2,Statewide,112189
315,2021,P,,0.0,2007.0,ICE,,2,Statewide,111739
316,2020,P,,0.0,2015.0,ICE,,3,Statewide,110830
317,2020,P,,0.0,2005.0,ICE,,2,Statewide,109818
318,2023,P,,0.0,2014.0,ICE,,2,Statewide,109758
319,2019,P,,0.0,2006.0,ICE,,3,Statewide,109569
320,2019,P,,0.0,2005.0,ICE,,1,Statewide,109406
321,2023,P,,0.0,2014.0,ICE,,1,Statewide,109365
322,2022,P,,0.0,2010.0,ICE,,3,Statewide,108778
323,2023,P,,0.0,2011.0,ICE,,3,Statewide,108626
324,2020,T2,1,0.0,2020.0,ICE,,1,Statewide,108620
325,2020,P,,0.0,2008.0,ICE,,3,Statewide,108374
326,2022,T2,1,0.0,2021.0,ICE,,1,Statewide,108211
327,2020,P,,0.0,2004.0,ICE,,≥4,Statewide,108118
328,2022,P,,0.0,2013.0,ICE,,3,Statewide,107678
329,2021,P,,0.0,2015.0,ICE,,3,Statewide,107678
330,2020,P,,0.0,2016.0,ICE,,3,Statewide,107414
331,2019,P,,0.0,2014.0,ICE,,3,Statewide,107410
332,2021,P,,0.0,2006.0,ICE,,1,Statewide,107238
333,2020,P,,0.0,2009.0,ICE,,3,Statewide,107001
334,2022,P,,0.0,2023.0,ICE,,3,Statewide,105446
335,2023,P,,0.0,2009.0,ICE,,1,Statewide,104616
336,2023,P,,0.0,2005.0,ICE,,≥4,Statewide,103381
337,2023,P,,0.0,2013.0,ICE,,3,Statewide,103315
338,2019,P,,0.0,2005.0,ICE,,3,Statewide,103246
339,2021,P,,0.0,2016.0,ICE,,3,Statewide,103201
340,2023,P,,0.0,2009.0,ICE,,2,Statewide,102982
341,2023,T3,2,0.0,2023.0,ICE,,≥4,Statewide,102907
342,2022,P,,0.0,2015.0,ICE,,3,Statewide,102405
343,2022,P,,0.0,2007.0,ICE,,1,Statewide,101562
344,2019,P,,0.0,2002.0,ICE,,≥4,Statewide,101390
345,2021,T3,2,0.0,2009.0,ICE,,≥4,Statewide,100238
346,2022,P,,0.0,2016.0,ICE,,3,Statewide,100142
347,2021,P,,0.0,2006.0,ICE,,2,Statewide,100142
348,2021,T2,1,0.0,2020.0,ICE,,1,Statewide,100040
349,2023,P,,0.0,2010.0,ICE,,3,Statewide,99954
350,2023,P,,0.0,2015.0,ICE,,3,Statewide,99860
351,2023,P,,0.0,2008.0,ICE,,1,Statewide,99672
352,2021,P,,0.0,2009.0,ICE,,3,Statewide,99327
353,2023,T2,1,0.0,2021.0,ICE,,≥4,Statewide,99099
354,2021,T2,1,0.0,2021.0,ICE,,≥4,Statewide,99045
355,2021,P,,0.0,2005.0,ICE,,1,Statewide,98770
356,2021,P,,0.0,2004.0,ICE,,≥4,Statewide,98488
357,2020,T3,2,0.0,2009.0,ICE,,≥4,Statewide,97438
358,2023,P,,0.0,2008.0,ICE,,2,Statewide,97352
359,2021,P,,0.0,2008.0,ICE,,3,Statewide,97325
360,2023,T3,2,0.0,2022.0,ICE,,≥4,Statewide,97302
361,2020,P,,0.0,2007.0,ICE,,3,Statewide,97053
362,2023,T2,1,0.0,2021.0,ICE,,1,Statewide,96906
363,2019,T2,1,0.0,2020.0,ICE,,≥4,Statewide,96871
364,2020,T3,2,0.0,2008.0,ICE,,≥4,Statewide,96777
365,2023,P,,0.0,2024.0,ICE,,3,Statewide,96772
366,2019,P,,0.0,2004.0,ICE,,2,Statewide,96714
367,2023,P,,0.0,2016.0,ICE,,3,Statewide,96422
368,2022,T3,2,0.0,2022.0,ICE,,≥4,Statewide,96314
369,2021,T3,2,0.0,2008.0,ICE,,≥4,Statewide,96265
370,2020,P,,0.0,2014.0,ICE,,3,Statewide,96253
371,2023,T3,2,0.0,2009.0,ICE,,≥4,Statewide,96201
372,2023,T2,1,0.0,2011.0,ICE,,≥4,Statewide,96189
373,2022,T3,2,0.0,2009.0,ICE,,≥4,Statewide,96148
374,2022,P,,0.0,2007.0,ICE,,2,Statewide,96091
375,2022,T2,1,0.0,2021.0,ICE,,2,Statewide,96055
376,2023,T2,1,0.0,2010.0,ICE,,≥4,Statewide,95899
377,2020,P,,0.0,2003.0,ICE,,≥4,Statewide,94871
378,2023,T2,1,0.0,2021.0,ICE,,2,Statewide,94870
379,2020,T2,1,0.0,2021.0,ICE,,1,Statewide,94832
380,2021,T2,1,0.0,2020.0,ICE,,2,Statewide,94553
381,2021,T2,1,0.0,2021.0,ICE,,2,Statewide,93973
382,2022,T2,1,0.0,2021.0,ICE,,≥4,Statewide,93515
383,2020,T2,1,0.0,2020.0,ICE,,2,Statewide,93160
384,2022,T3,2,0.0,2008.0,ICE,,≥4,Statewide,92567
385,2020,P,,0.0,2004.0,ICE,,1,Statewide,92353
386,2020,T2,1,0.0,2019.0,ICE,,1,Statewide,92318
387,2021,P,,0.0,2005.0,ICE,,2,Statewide,92297
388,2020,P,,0.0,2006.0,ICE,,3,Statewide,92099
389,2022,T2,1,0.0,2020.0,ICE,,1,Statewide,92074
390,2022,P,,0.0,2006.0,ICE,,1,Statewide,91976
391,2021,T2,1,0.0,2022.0,ICE,,2,Statewide,91712
392,2022,T2,1,0.0,2020.0,ICE,,2,Statewide,91157
393,2021,P,,0.0,2014.0,ICE,,3,Statewide,91108
394,2023,T3,2,0.0,2008.0,ICE,,≥4,Statewide,90645
395,2021,T2,1,0.0,2010.0,ICE,,≥4,Statewide,89999
396,2022,P,,0.0,2009.0,ICE,,3,Statewide,89667
397,2023,T2,1,0.0,2009.0,ICE,,≥4,Statewide,89643
398,2023,T2,1,0.0,2022.0,ICE,,3,Statewide,89325
399,2021,T3,2,0.0,2010.0,ICE,,≥4,Statewide,88676
400,2020,T2,1,0.0,2010.0,ICE,,≥4,Statewide,88485
401,2023,T2,1,0.0,2024.0,ICE,,2,Statewide,88411
402,2022,T2,1,0.0,2010.0,ICE,,≥4,Statewide,88381
403,2022,P,,0.0,2008.0,ICE,,3,Statewide,88319
404,2022,P,,0.0,2014.0,ICE,,3,Statewide,87963
405,2020,T2,1,0.0,2021.0,ICE,,≥4,Statewide,87826
406,2020,T3,2,0.0,2010.0,ICE,,≥4,Statewide,87655
407,2023,T2,1,0.0,2020.0,ICE,,2,Statewide,87282
408,2020,T2,1,0.0,2020.0,ICE,,≥4,Statewide,87120
409,2022,P,,0.0,2004.0,ICE,,≥4,Statewide,86918
410,2021,P,,0.0,2007.0,ICE,,3,Statewide,86828
411,2022,T3,2,0.0,2010.0,ICE,,≥4,Statewide,86795
412,2022,P,,0.0,2006.0,ICE,,2,Statewide,86210
413,2023,T3,2,0.0,2024.0,ICE,,≥4,Statewide,86167
414,2021,T3,2,0.0,2012.0,ICE,,≥4,Statewide,86146
415,2020,T2,1,0.0,2010.0,ICE,,2,Statewide,86082
416,2021,T2,1,0.0,2020.0,ICE,,≥4,Statewide,85891
417,2021,P,,0.0,2003.0,ICE,,≥4,Statewide,85803
418,2021,T3,2,0.0,2022.0,ICE,,≥4,Statewide,85449
